"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Environmental","Environmental","Environmental","","","",0,*,"","","","null {[]} {[]}
","Environmental Observation","A logical model representing environmental conditions relevant to patient health, such as air quality, temperature, noise, and UV exposure. These factors may be collected by consumer weather stations, smartphone sensors, or wearable devices.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Environmental","Environmental.subject","Environmental.subject","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient]]}
","The patient whose environment is being observed","The patient whose environment is being observed","","","","","","","","","",,,,,"",,,,"Environmental.subject",1,1,"",""
"Environmental","Environmental.effectiveDateTime","Environmental.effectiveDateTime","","","",0,1,"","","","dateTime {[]} {[]}
","When the observation was made","When the observation was made","","","","","","","","","",,,,,"",,,,"Environmental.effectiveDateTime",0,1,"",""
"Environmental","Environmental.effectivePeriod","Environmental.effectivePeriod","","","",0,1,"","","","Period {[]} {[]}
","Time period over which the observation applies","Time period over which the observation applies","","","","","","","","","",,,,,"",,,,"Environmental.effectivePeriod",0,1,"",""
"Environmental","Environmental.location","Environmental.location","","","",0,1,"","","","Address {[]} {[]}
","Location of measurement","Location of measurement","","","","","","","","","",,,,,"",,,,"Environmental.location",0,1,"",""
"Environmental","Environmental.gpsCoordinates","Environmental.gpsCoordinates","","","",0,1,"","","","BackboneElement {[]} {[]}
","GPS coordinates of the observation","GPS coordinates of the observation","","","","","","","","","",,,,,"",,,,"Environmental.gpsCoordinates",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Environmental","Environmental.gpsCoordinates.id","Environmental.gpsCoordinates.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Environmental","Environmental.gpsCoordinates.extension","Environmental.gpsCoordinates.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Environmental","Environmental.gpsCoordinates.modifierExtension","Environmental.gpsCoordinates.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Environmental","Environmental.gpsCoordinates.latitude","Environmental.gpsCoordinates.latitude","","","",1,1,"","","","decimal {[]} {[]}
","Latitude in decimal degrees","Latitude in decimal degrees","","","","","","","","","",,,,,"",,,,"Environmental.gpsCoordinates.latitude",1,1,"",""
